"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"01040511";"01040500";"2";"Klommesten 3";;""
"01040512";"01040500";"2";"Verket";;""
"01040600";"";"1";"Mosseskogen vest";;""
"01040601";"01040600";"2";"Tigerplassen/Gamlevegen";;""
"01040602";"01040600";"2";"Kleiva";;""
"01040603";"01040600";"2";"Molbæk 1";;""
"01040604";"01040600";"2";"Molbæk 2";;""
"01040605";"01040600";"2";"Molbæk 3";;""
"01040700";"";"1";"Kambo";;""
"01040701";"01040700";"2";"Kambo 1";;""
"01040702";"01040700";"2";"Kilsbakken";;""
"01040703";"01040700";"2";"Nøkkeland nord";;""
"01040704";"01040700";"2";"Nøkkeland";;""
"01040705";"01040700";"2";"Nøkkeland øst";;""
"01040706";"01040700";"2";"Kilsåsen";;""
"01040800";"";"1";"Mosseskogen øst";;""
"01040801";"01040800";"2";"Trolldalen/Grindvold";;""
"01040802";"01040800";"2";"Trolldalen syd";;""
"01040803";"01040800";"2";"Trolldalen nord";;""
"01040804";"01040800";"2";"Grindvold";;""
"01040805";"01040800";"2";"Skredderåsen";;""
"01040806";"01040800";"2";"Åvangen";;""
"01040807";"01040800";"2";"Åvangen øst";;""
"01040808";"01040800";"2";"Mossemarka";;""
"01040809";"01040800";"2";"Åvangen vest";;""
"01040900";"";"1";"Mosseelva/Dillingøya";;""
"01040901";"01040900";"2";"Krapfoss 1";;""
"01040902";"01040900";"2";"Krapfoss 2";;""
"01040903";"01040900";"2";"Gunhildåsen";;""
"01040904";"01040900";"2";"Gjerrebogen 1";;""
"01040905";"01040900";"2";"Gjerrebogen 2";;""
"01040906";"01040900";"2";"Gjerrebogen 3";;""
"01040907";"01040900";"2";"Gjerrebogen 4";;""
"01040908";"01040900";"2";"Solgård skog";;""
"01040909";"01040900";"2";"Torbjørnsrød";;""
"01040910";"01040900";"2";"Nore/Vanem/Dillingøya";;""
"01050100";"";"1";"Sarpsborg vest";;""
"01050101";"01050100";"2";"Buvikodden";;""
"01050102";"01050100";"2";"Alvimhaugen";;""
"01050103";"01050100";"2";"Spikeren";;""
"01050104";"01050100";"2";"Sandesund";;""
"01050105";"01050100";"2";"Torsbekken";;""
"01050106";"01050100";"2";"Grotterød";;""
"01050107";"01050100";"2";"Vesteng";;""
"01050108";"01050100";"2";"Enenda";;""
"01050109";"01050100";"2";"Turkerud";;""
"01050110";"01050100";"2";"Vingulmork";;""
"01050111";"01050100";"2";"Majorplassen";;""
"01050112";"01050100";"2";"Ninive";;""
"01050113";"01050100";"2";"Kulås";;""
"01050200";"";"1";"Sarpsborg øst";;""
"01050201";"01050200";"2";"Frankrike";;""
"01050202";"01050200";"2";"Gamlebyen";;""
"01050203";"01050200";"2";"Grina";;""
"01050204";"01050200";"2";"Fram";;""
"01050205";"01050200";"2";"Gleng";;""
"01050206";"01050200";"2";"Fritznerbakken";;""
"01050207";"01050200";"2";"Opsund";;""
"01050208";"01050200";"2";"Bytangen";;""
"01050209";"01050200";"2";"Borregaard";;""
"01050300";"";"1";"Kurland";;""
"01050301";"01050300";"2";"Kurlandsletta";;""
"01050302";"01050300";"2";"Sabelberget";;""
"01050303";"01050300";"2";"Vestlia";;""
"01050304";"01050300";"2";"Knausen";;""
"01050305";"01050300";"2";"Skogbrynet";;""
"01050306";"01050300";"2";"Kurland";;""
"01050307";"01050300";"2";"Kurlandtoppen";;""
"01050308";"01050300";"2";"St.Hansveien";;""
"01050309";"01050300";"2";"Tjueklo";;""
"01050310";"01050300";"2";"Harebakk";;""
"01050311";"01050300";"2";"Ravneberget";;""
"01050312";"01050300";"2";"Herresadel";;""
"01050313";"01050300";"2";"Appelsintoppen";;""
"01050314";"01050300";"2";"Jomfrusal";;""
"01050315";"01050300";"2";"Maugestenåsen";;""
"01050316";"01050300";"2";"Maugestenmyra";;""
"01050317";"01050300";"2";"Maugestenlia";;""
"01051100";"";"1";"Ullerøy";;""
"01051101";"01051100";"2";"Gunnarstorp";;""
"01051102";"01051100";"2";"Åsrød";;""
"01051103";"01051100";"2";"Nordre Ullerøy";;""
"01051104";"01051100";"2";"Søndre Ullerøy";;""
"01051105";"01051100";"2";"Karlsøy";;""
"01051200";"";"1";"Søndre og østre Skjeberg";;""
"01051201";"01051200";"2";"Grimsøya";;""
"01051202";"01051200";"2";"Løkkevika";;""
"01051203";"01051200";"2";"Ingedal";;""
"01051204";"01051200";"2";"Høysand";;""
"01051205";"01051200";"2";"Skjeberg";;""
"01051206";"01051200";"2";"Kvastebyen";;""
"01051207";"01051200";"2";"Rønneld";;""
"01051300";"";"1";"Borgen";;""
"01051302";"01051300";"2";"Hevingen";;""
"01051304";"01051300";"2";"Nygårdshaugen";;""
"01051305";"01051300";"2";"Vollberg";;""
"01051306";"01051300";"2";"Borgen øst";;""
"01051307";"01051300";"2";"Borgen vest";;""
"01051308";"01051300";"2";"Klavestadhaugen";;""
"01051310";"01051300";"2";"Værnåsen";;""
"01051311";"01051300";"2";"Vik";;""
"01051312";"01051300";"2";"Nordlitoppen";;""
"01051313";"01051300";"2";"Kala";;""
"01051314";"01051300";"2";"Tveter";;""
"01051400";"";"1";"Hafslund";;""
"01051401";"01051400";"2";"Hafslund";;""
"01051402";"01051400";"2";"Nordberg";;""
"01051403";"01051400";"2";"Grasto";;""
"01051404";"01051400";"2";"Hauge";;""
"01051405";"01051400";"2";"Hafslundskogen";;""
"01052100";"";"1";"Hafslundsøy";;""
"01052101";"01052100";"2";"Rød";;""
"01052102";"01052100";"2";"Helgeby";;""
"01052103";"01052100";"2";"Vestby";;""
"01052104";"01052100";"2";"Nordby";;""
"01052200";"";"1";"Lande";;""
"01052201";"01052200";"2";"Alvim";;""
"01052202";"01052200";"2";"Klokkerjordet";;""
"01052203";"01052200";"2";"Tune";;""
"01052204";"01052200";"2";"Karlsborg";;""
"01052205";"01052200";"2";"Valaskjold";;""
"01052206";"01052200";"2";"Lande";;""
"01052207";"01052200";"2";"Råkil";;""
"01052208";"01052200";"2";"Bakkeli";;""
"01052300";"";"1";"Yven";;""
"01052301";"01052300";"2";"Helleskjær";;""
"01052302";"01052300";"2";"Hannestad";;""
"01052303";"01052300";"2";"Yven";;""
"01052304";"01052300";"2";"Yvenbråten";;""
"01052305";"01052300";"2";"Langemyr";;""
"01052306";"01052300";"2";"Grålumåsen";;""
"01052307";"01052300";"2";"Kalleren";;""
"01052308";"01052300";"2";"Grålum";;""
"01052309";"01052300";"2";"Bjørnstad";;""
"01052400";"";"1";"Greåker";;""
"01052401";"01052400";"2";"Greåker";;""
"01052402";"01052400";"2";"Enghaugen";;""
"01052403";"01052400";"2";"Tindlund";;""
"01052404";"01052400";"2";"Greåkerdalen";;""
"01052405";"01052400";"2";"Svartbekk";;""
"01052406";"01052400";"2";"Moa";;""
"01052407";"01052400";"2";"Opstad";;""
"01052500";"";"1";"Vest-Tune";;""
"01052502";"01052500";"2";"Sanne";;""
"01052503";"01052500";"2";"Solli";;""
"01052504";"01052500";"2";"Agnalt";;""
"01052505";"01052500";"2";"Minge";;""
"01052506";"01052500";"2";"Trøsken";;""
"01052507";"01052500";"2";"Holleby";;""
"01052508";"01052500";"2";"Jelsnes";;""
"01052509";"01052500";"2";"Kalnes";;""
"01052510";"01052500";"2";"Vister";;""
"01052511";"01052500";"2";"Eidet";;""
"01053100";"";"1";"Varteig";;""
"01053101";"01053100";"2";"Hasle";;""
"01053102";"01053100";"2";"Kultorp";;""
"01053103";"01053100";"2";"Varteig";;""
"01053104";"01053100";"2";"Furuholmen";;""
"01053105";"01053100";"2";"Bøe/Brenne";;""
"01053106";"01053100";"2";"Sikkeland";;""
"01053107";"01053100";"2";"Bergby";;""
